# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 70 1 23 16777236 456497101 3 ./.git/HEAD
DUPTYPE_WITHIN_SAME_TREE -70 3 23 16777236 456494270 3 ./billion/postfixconf/.git/HEAD
DUPTYPE_FIRST_OCCURRENCE 4036 5 24 16777236 456492504 3 ./scripts-old/ntop/ntop/packages/debian/README.target
DUPTYPE_WITHIN_SAME_TREE -4036 7 24 16777236 456498426 3 ./scripts-old/ntop/ntop/packages/debian/.svn/text-base/README.target.svn-base
DUPTYPE_FIRST_OCCURRENCE 3481 5 28 16777236 456493671 3 ./2013-dropbox-start-scripts/Dropbox-All-v1.1.app/Contents/Resources/Scripts/dropbox-stop-all.sh
DUPTYPE_WITHIN_SAME_TREE -3481 5 28 16777236 456493667 3 ./2013-dropbox-start-scripts/Dropbox-All-v1.2.app/Contents/Resources/Scripts/dropbox-stop-all.sh
DUPTYPE_FIRST_OCCURRENCE 4041 5 34 16777236 456493951 3 ./scripts-old/ntop/ntop/packages/debian/files
DUPTYPE_WITHIN_SAME_TREE -4041 7 34 16777236 456488823 3 ./scripts-old/ntop/ntop/packages/debian/.svn/text-base/files.svn-base
DUPTYPE_FIRST_OCCURRENCE 3182 4 35 16777236 456489849 3 ./scripts-old/ntop/ntop/html/black.gif
DUPTYPE_WITHIN_SAME_TREE -3182 6 35 16777236 456489342 3 ./scripts-old/ntop/ntop/html/.svn/text-base/black.gif.svn-base
DUPTYPE_FIRST_OCCURRENCE 40 0 38 16777236 456491920 3 ./printer-network.sh
DUPTYPE_WITHIN_SAME_TREE -40 1 38 16777236 456496527 3 ./scripts-old/printer-network.sh
DUPTYPE_FIRST_OCCURRENCE 2965 3 41 16777236 456495769 3 ./.git/refs/heads/master
DUPTYPE_WITHIN_SAME_TREE -2965 4 41 16777236 456497098 3 ./.git/refs/remotes/origin/master
DUPTYPE_FIRST_OCCURRENCE 3194 4 45 16777236 456493642 3 ./scripts-old/ntop/ntop/html/clear.gif
DUPTYPE_WITHIN_SAME_TREE -3194 6 45 16777236 456489346 3 ./scripts-old/ntop/ntop/html/.svn/text-base/clear.gif.svn-base
DUPTYPE_FIRST_OCCURRENCE 3967 5 49 16777236 456491851 3 ./scripts-old/ntop/ntop/html/img_inquisitor/ul_corner_bl.gif
DUPTYPE_WITHIN_SAME_TREE -3967 7 49 16777236 456491233 3 ./scripts-old/ntop/ntop/html/img_inquisitor/.svn/text-base/ul_corner_bl.gif.svn-base
DUPTYPE_FIRST_OCCURRENCE 3968 5 49 16777236 456491849 3 ./scripts-old/ntop/ntop/html/img_inquisitor/ul_corner_br.gif
DUPTYPE_WITHIN_SAME_TREE -3968 7 49 16777236 456492195 3 ./scripts-old/ntop/ntop/html/img_inquisitor/.svn/text-base/ul_corner_br.gif.svn-base
DUPTYPE_FIRST_OCCURRENCE 3970 5 50 16777236 456491852 3 ./scripts-old/ntop/ntop/html/img_inquisitor/ul_corner_tr.gif
DUPTYPE_WITHIN_SAME_TREE -3970 7 50 16777236 456489360 3 ./scripts-old/ntop/ntop/html/img_inquisitor/.svn/text-base/ul_corner_tr.gif.svn-base
DUPTYPE_FIRST_OCCURRENCE 3969 5 50 16777236 456491853 3 ./scripts-old/ntop/ntop/html/img_inquisitor/ul_corner_tl.gif
DUPTYPE_WITHIN_SAME_TREE -3969 7 50 16777236 456492193 3 ./scripts-old/ntop/ntop/html/img_inquisitor/.svn/text-base/ul_corner_tl.gif.svn-base
DUPTYPE_FIRST_OCCURRENCE 12 0 52 16777236 456491081 3 ./convert_tz.sh
